class_num,file_name,width,height,imgfile,drug_N,drug_S,back_color,drug_dir,light_color,camera_la,camera_lo,size,item_seq,leng_long,leng_short,thick,id,dl_idx,dl_mapping_code,dl_name,dl_name_en,img_key,dl_material,dl_material_en,dl_custom_shape,dl_company,dl_company_en,di_company_mf,di_company_mf_en,di_item_permit_date,di_class_no,di_etc_otc_code,di_edi_code,chart,drug_shape,print_front,print_back,color_class1,color_class2,line_front,line_back,img_regist_ts,form_code_name,mark_code_front_anal,mark_code_back_anal,mark_code_front_img,mark_code_back_img,mark_code_front,mark_code_back,change_date
827,K-000272_0_0_0_0_60_000_200.png,976,1280,K-000272_0_0_0_0_60_000_200.png,K-000272,정상알약,검은색 배경,앞면,전구색,60,0,200,197500016,12.5,5.8,4,1,271,K-000272,낙센정 250mg/PTP,Naxen Tab. 250mg,http://connectdi.com/design/img/drug/147427297681200156.jpg,나프록센,Naproxen,"정제, 저작정",(주)종근당,Chong Kun Dang Pharmaceutical,,,19750429,[01140]해열.진통.소염제,일반의약품,643300120,미황색(연노랑의) 장방형 정제,장방형,N250,,노랑,,,,20041222,나정,,,,,,,20190917
373,K-000317_0_0_0_0_60_000_200.png,976,1280,K-000317_0_0_0_0_60_000_200.png,K-000317,정상알약,검은색 배경,앞면,전구색,60,0,200,197500541,8.99,8.99,3.59,1,316,K-000317,구주스피로닥톤정(스피로노락톤),Spirodactone Tab. GuJu,http://connectdi.com/design/img/drug/147427603886100051.jpg,스피로노락톤,Spironolactone,"정제, 저작정",구주제약(주),Guju,,,19751007,[02130]이뇨제,전문의약품,"669800160,A27800451",미황색 원형의 필름코팅정제,원형,S25,,노랑,,,,20150416,필름코팅정,,,,,,,20150409
855,K-000364_0_0_0_0_60_000_200.png,976,1280,K-000364_0_0_0_0_60_000_200.png,K-000364,정상알약,검은색 배경,앞면,전구색,60,0,200,197600345,8.15,8.15,3.29,1,363,K-000364,페리나정 25mg/PTP,Perina Tab.,http://connectdi.com/design/img/drug/149140683129300030.jpg,수도에페드린염산염|클로르페니라민말레산염,Pseudoephedrine Hydrochloride| Chlorpheniramine Maleate,"정제, 저작정",삼진제약(주),Samjinpharm,,,19760622,[01410]항히스타민제,일반의약품,647802520,흰색의 원형 정제,원형,SJP,분할선,하양,,,-,20170404,나정,,,,,,,20191104
876,K-000368_0_0_0_0_60_000_200.png,976,1280,K-000368_0_0_0_0_60_000_200.png,K-000368,정상알약,검은색 배경,앞면,전구색,60,0,200,197600412,14.48,5.04,5.16,1,367,K-000368,로프민캡슐(염산로페라미드),Lopmin Cap.,http://connectdi.com/design/img/drug/1NXVKYFvlrX.jpg,로페라미드염산염,Loperamide Hydrochloride,경질캡슐제,영일제약(주),Youngilpharm,,,19760414,[02370]정장제,일반의약품,"649400510,A16600571","흰색 분말이 든 상, 하부 흰색의 경질캡슐제",장방형,LPM LPM,,하양,하양,,,20041126,"경질캡슐제, 산제",,,,,,,20170525
615,K-000372_0_0_0_0_60_000_200.png,976,1280,K-000372_0_0_0_0_60_000_200.png,K-000372,정상알약,검은색 배경,앞면,전구색,60,0,200,197600539,19,19,6,1,371,K-000372,세가톤트로키 1.5mg/PTP,Cegaton Troche,http://connectdi.com/design/img/drug/1MaAIzBwRVi.jpg,염화세칠피리디늄,Cetylpyridinium Chloride Hydrate,"정제, 저작정",알파제약(주),Al Pha,,,19760209,[02310]치과구강용약,일반의약품,654200320,황색의 원형 트로키제임.,원형,A,A,노랑,,,,20090629,트로키제,,,,,,,20200330
46,K-000400_0_0_0_0_60_000_200.png,976,1280,K-000400_0_0_0_0_60_000_200.png,K-000400,정상알약,검은색 배경,앞면,전구색,60,0,200,197700126,17.5,8,6.7,1,399,K-000400,후시딘정(퓨시드산나트륨),Fucidin Tab. 250mg,http://connectdi.com/design/img/drug/151369804405900056.jpg,퓨시드산나트륨,Sodium Fusidate,"정제, 저작정",동화약품(주),Dong Wha Pharm,,,19770121,[06110]주로 그람양성균에 작용하는 것,전문의약품,"642703980,A05701881",백색의 타원형 필름코팅정이다.,타원형,D-WFCD,,하양,,,,20051019,필름코팅정,,,,,,,20210428
61,K-000438_0_0_0_0_60_000_200.png,976,1280,K-000438_0_0_0_0_60_000_200.png,K-000438,정상알약,검은색 배경,앞면,전구색,60,0,200,197700537,9.5,9.5,4,1,437,K-000438,네오메디코푸정,Neomedicough Tab.,http://connectdi.com/design/img/drug/151369795248800058.jpg,디히드로코데인타르타르산염|클로르페니라민말레산염|dl-메틸에페드린염산염|카페인무수물,Caffeine Anhydrous| Chlorpheniramine Maleate| Dihydrocodeine Tartrate| DL-Methylephedrine Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,19771103,[02220]진해거담제,전문의약품,"641900090,F00600021",연분홍색의 원형 정제,원형,BR분할선NM,,분홍,,-,,20050830,나정,,,,,,,20210610
230,K-000465_0_0_0_0_60_000_200.png,976,1280,K-000465_0_0_0_0_60_000_200.png,K-000465,정상알약,검은색 배경,앞면,전구색,60,0,200,197800132,12.6,12.6,3.7,1,464,K-000465,유한피라진아미드정 500mg,Pyrazinamide Tab. 500mg Yuhan,http://connectdi.com/design/img/drug/154601167157200141.jpg,피라진아미드,Pyrazinamide,"정제, 저작정",(주)유한양행,Yuhan,,,19780128,[06220]항결핵제,전문의약품,"642102010,A04502951",백색의 원형정제임.,원형,YH,PZM,하양,,,,20041222,나정,,,,,,,20180729
779,K-000479_0_0_0_0_60_000_200.png,976,1280,K-000479_0_0_0_0_60_000_200.png,K-000479,정상알약,검은색 배경,앞면,전구색,60,0,200,197800242,12.6,12.6,5.4,1,478,K-000479,일양노이시린에이정(규산알루민산마그네슘),Neusilin-A Tab. Ilyang,http://connectdi.com/design/img/drug/148674126111200110.jpg,규산알루민산마그네슘,Magnesium Aluminometasilicate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,19781128,[02340]제산제,일반의약품,"641701590,A09501541",흰색의 원형 정제,원형,NAT,,하양,,,,20150626,나정,,,,,,,20160712
967,K-000481_0_0_0_0_60_000_200.png,976,1280,K-000481_0_0_0_0_60_000_200.png,K-000481,정상알약,검은색 배경,앞면,전구색,60,0,200,197800262,9.7,9.7,4.7,1,480,K-000481,쎄닐톤정 60mg/병 (수출용),Cernilton Tab.,http://connectdi.com/design/img/drug/154150769877500008.jpg,쎄니틴 T60|쎄니틴 GBX,Cernitin GBX| Cernitin T60,"정제, 저작정",(주)동구바이오제약,Dongkoo Bio&Pharma,,,19780720,[02550]비뇨생식기관용제(성병예방제포함),일반의약품,657302430,담록색 원형의 필름코팅정제,원형,DCN,마크,연두,,,,20050805,필름코팅정,,D,,http://connectdi.com/design/img/drug/147938640332900079.jpg,,,20130501
547,K-000488_0_0_0_0_60_000_200.png,976,1280,K-000488_0_0_0_0_60_000_200.png,K-000488,정상알약,검은색 배경,앞면,전구색,60,0,200,197800303,7.6,7.6,3.1,1,487,K-000488,부광메티마졸정,Methimazol Tab. Bukwang,http://connectdi.com/design/img/drug/1NXA-1cMBY-.jpg,메티마졸,Methimazole,"정제, 저작정",부광약품(주),Bukwang Pharm,,,19780418,"[02430]갑상선, 부갑상선호르몬제",전문의약품,"642200680,A13101301",백색의 정제임.,원형,MET,십자분할선,하양,,,+,20041222,나정,,,,,,,20200202
714,K-000573_0_0_0_0_60_000_200.png,976,1280,K-000573_0_0_0_0_60_000_200.png,K-000573,정상알약,검은색 배경,앞면,전구색,60,0,200,197900277,11.2,11.2,7.4,1,572,K-000573,게보린정 300mg/PTP,Geworin Tab.,http://connectdi.com/design/img/drug/1N5PLuAiUvi.jpg,아세트아미노펜|카페인무수물|이소프로필안티피린,Acetaminophen| Caffeine Anhydrous| Isopropylantipyrine,"정제, 저작정",삼진제약(주),Samjinpharm,,,19790315,[01140]해열.진통.소염제,일반의약품,647800040,홍색의 정제,삼각형,GR,,분홍,,,,20200331,나정,,,,,,,20150709
504,K-000576_0_0_0_0_60_000_200.png,976,1280,K-000576_0_0_0_0_60_000_200.png,K-000576,정상알약,검은색 배경,앞면,전구색,60,0,200,197900284,10.3,10.3,5.2,1,575,K-000576,싸이메트정 300mg,Cimet Tab. 300mg,http://connectdi.com/design/img/drug/1NXA-1cMBZg.jpg,시메티딘,Cimetidine,"정제, 저작정",부광약품(주),Bukwang Pharm,,,19790417,[02320]소화성궤양용제,전문의약품,"642201310,A13151371",베이지색의 정제,원형,CIMET 300,,노랑,,,,20041222,필름코팅정,,,,,,,20151217
383,K-000609_0_0_0_0_60_000_200.png,976,1280,K-000609_0_0_0_0_60_000_200.png,K-000609,정상알약,검은색 배경,앞면,전구색,60,0,200,197900575,8.5,8.5,3,1,608,K-000609,슈다페드정(슈도에페드린염산염),Pseudafed Tab. 60mg,http://connectdi.com/design/img/drug/151732694515500108.jpg,슈도에페드린염산염,Pseudoephedrine Hydrochloride,"정제, 저작정",삼일제약(주),Samil,,,19790220,[02290]기타의 호흡기관용약,전문의약품,"643900710,A05001121",흰색의 원형 정제,원형,마크분할선SD분할선마크분할선SD,마크분할선SD분할선마크분할선SD,하양,,+,+,20140311,나정,"i,촛불","i,촛불",http://connectdi.com/design/img/drug/147938654295100080.jpg,http://connectdi.com/design/img/drug/147938654295100080.jpg,,,20191104
722,K-000650_0_0_0_0_60_000_200.png,976,1280,K-000650_0_0_0_0_60_000_200.png,K-000650,정상알약,검은색 배경,앞면,전구색,60,0,200,198000151,20.6,7.9,4.8,1,649,K-000650,베라드정 0.5g/PTP,Berad Tab.(Baenongsangeuptang Ext.),http://connectdi.com/design/img/drug/147428234068200199.jpg,지실|작약|길경|건강|대추|감초,Ginger| Jujube| Licorice| Peony Root| Platycodon Root| Poncirus Fruit　,,신화제약(주),Shinhwa Pharmaceutical,,,19800520,[02630]화농성질환용제,일반의약품,,회갈색의 정제,장방형,BLD,,노랑,,,,20070413,나정,,,,,,,20200629
271,K-000654_0_0_0_0_60_000_200.png,976,1280,K-000654_0_0_0_0_60_000_200.png,K-000654,정상알약,검은색 배경,앞면,전구색,60,0,200,198000160,9.65,9.65,4.55,1,653,K-000654,대웅프리미돈정,Primidone Tab. 250mg DaeWoong,http://connectdi.com/design/img/drug/154609804554800025.jpg,프리미돈,Primidone,"정제, 저작정",(주)대웅제약,Daewoong Pharmaceutical,,,19801122,[01130]항전간제,전문의약품,"641601060,A04301681",이약은 백색정제이다.,원형,I분할선I,,하양,,-,,20041222,나정,,,,,,,20090228
128,K-000658_0_0_0_0_60_000_200.png,976,1280,K-000658_0_0_0_0_60_000_200.png,K-000658,정상알약,검은색 배경,앞면,전구색,60,0,200,198000206,16.15,7.78,5.44,1,657,K-000658,트렌탈서방정400(펜톡시필린),Trental Tab. 400mg,http://connectdi.com/design/img/drug/147427437692500074.jpg,펜톡시필린,Pentoxifylline,서방형정제,(주)한독,Handok,,,19801108,[02190]기타의 순환계용약,전문의약품,"652101370,A07402791",장방형의 흰색 서방성 필름코팅정.(수출용 : 장방형의 분홍색 서방성 당의정),장방형,ATA,,하양,,,,20130123,서방성필름코팅정,,,,,,,20160224
853,K-000672_0_0_0_0_60_000_200.png,976,1280,K-000672_0_0_0_0_60_000_200.png,K-000672,정상알약,검은색 배경,앞면,전구색,60,0,200,198000304,19,6.8,6.8,1,671,K-000672,뮤코론캡슐 375mg,Mucolon Cap. 375mg,http://connectdi.com/design/img/drug/1NXVKYFvl6Q.jpg,카르보시스테인,L-Carbocysteine,경질캡슐제,부광약품(주),Bukwang Pharm,,,19800307,[02220]진해거담제,일반의약품,"642200500,A13101421","상단녹색, 하단백색의 캅셀내의 백색분말임",장방형,BK CMC,,초록,하양,,,20050202,"경질캡슐제, 산제",,,,,,,20190805
662,K-000721_0_0_0_0_60_000_200.png,976,1280,K-000721_0_0_0_0_60_000_200.png,K-000721,정상알약,검은색 배경,앞면,전구색,60,0,200,198000572,15,8,5,1,720,K-000721,베노라제정 400mg/PTP,Benoraje Tab.,http://connectdi.com/design/img/drug/1MnfO1MVz-u.jpg,배농산급탕건조엑스,Ginger| Jujube| Licorice| Peony Root| Platycodon Root| Poncirus Fruit,,삼익제약(주),Samik Pharmaceutical,,,19800214,[02630]화농성질환용제,일반의약품,,녹색의 장방형 필름코팅정제,장방형,마크,마크2,초록,,,,20080220,필름코팅정,"바람,물결,나뭇잎","111,III,三,≡,삼",http://connectdi.com/design/img/drug/147938657883200039.jpg,http://connectdi.com/design/img/drug/147938661567700130.jpg,,,20201023
831,K-000746_0_0_0_0_60_000_200.png,976,1280,K-000746_0_0_0_0_60_000_200.png,K-000746,정상알약,검은색 배경,앞면,전구색,60,0,200,198100119,9.16,9.16,3.36,1,745,K-000746,우루사정 100mg,Ursa Tab. 100mg,http://connectdi.com/design/img/drug/1NX0PYltLbw.jpg,우르소데옥시콜산,Ursodeoxycholic Acid,"정제, 저작정",(주)대웅제약,Daewoong Pharmaceutical,대웅바이오(주),Daewoong Bio,19810427,[03910]간장질환용제,일반의약품,"641602040,A04301741",흰색의 원형 정제,원형,UDCA,D분할선W,하양,,,-,20180227,나정,,,,,,,20200405
258,K-000749_0_0_0_0_60_000_200.png,976,1280,K-000749_0_0_0_0_60_000_200.png,K-000749,정상알약,검은색 배경,앞면,전구색,60,0,200,198100126,10,10,4.6,1,748,K-000749,베타록정(메토프롤롤타르타르산염),Betaloc Tab. 100mg,http://connectdi.com/design/img/drug/151317997027100154.jpg,메토프롤롤타르타르산염,Metoprolol Tartrate,"정제, 저작정",(주)유한양행,Yuhan,,,19810304,[02190]기타의 순환계용약,전문의약품,"642100610,A04503291",백색원형의 정제.,원형,A분할선mE,,하양,,-,,20041222,나정,,,,,,,20191031
968,K-000779_0_0_0_0_60_000_200.png,976,1280,K-000779_0_0_0_0_60_000_200.png,K-000779,정상알약,검은색 배경,앞면,전구색,60,0,200,198100428,8.6,8.6,3.2,1,778,K-000779,스파부틴정 100mg,Spabutine Tab.,http://connectdi.com/design/img/drug/1MxGLPXNln6.jpg,트리메부틴말레산염,Trimebutine,"정제, 저작정",한미약품(주),Hanmi Pharm,(주)한국파비스제약,Pharvis Korea,19811212,[02390]기타의 소화기관용약,일반의약품,"643501350,A21401001",흰색의 원형정제이다.,원형,H분할선M,SPA,하양,,-,,20191127,나정,,,,,,,20200930
267,K-000818_0_0_0_0_60_000_200.png,976,1280,K-000818_0_0_0_0_60_000_200.png,K-000818,정상알약,검은색 배경,앞면,전구색,60,0,200,198200049,15.5,8.6,6.6,1,817,K-000818,리포덱스정 450mg (수출용),Rifodex Tab. 450mg,http://connectdi.com/design/img/drug/146032686387200087.jpg,리팜피신,Rifampicin,"정제, 저작정",(주)종근당,Chong Kun Dang Pharmaceutical,,,19820909,[06130]주로 항산성균에 작용하는 것,전문의약품,"643300590,A01203991",국내 시판용 : 이 약은 냄새가 거의 없는 연한 적갈색의 장방형 제피정제수출용 : 백색의 장방형 당의정,타원형,450,,주황,,,,20041222,필름코팅정,,,,,,,20191111
898,K-000836_0_0_0_0_60_000_200.png,976,1280,K-000836_0_0_0_0_60_000_200.png,K-000836,정상알약,검은색 배경,앞면,전구색,60,0,200,198200120,8.1,8.1,3.6,1,835,K-000836,타라부틴정(트리메부틴말레산염)(수출명:뉴트리소젠정),Tarabutine Tab. 100mg,http://connectdi.com/design/img/drug/147427336539800187.jpg,트리메부틴말레산염,Trimebutine,"정제, 저작정",국제약품(주),Kukje Pharm,(주)마더스제약,Mother'S Pharmaceutical,19820422,[02390]기타의 소화기관용약,일반의약품,"643702230,A03002471",백색의 원형정제,원형,TB1KJ,,하양,,,,20060127,나정,,,,,,,20200930
49,K-000913_0_0_0_0_60_000_200.png,976,1280,K-000913_0_0_0_0_60_000_200.png,K-000913,정상알약,검은색 배경,앞면,전구색,60,0,200,198300002,22.74,8.68,4.87,1,912,K-000913,디스토시드정(프라지콴텔정)군납명:프라지콴텔정,Distocide Tab.,http://connectdi.com/design/img/drug/152285645249900067.jpg,프라지콴텔,Praziquantel,"정제, 저작정",신풍제약(주),Shinpoong Pharm,,,19830521,[06420]구충제,전문의약품,"648500340,A00301421",백색-미황색의 장방형 제피정.,장방형,S분할선P분할선P분할선C,분할선분할선분할선,하양,,기타,기타,20041222,필름코팅정,,,,,,,20200123
306,K-001027_0_0_0_0_60_000_200.png,976,1280,K-001027_0_0_0_0_60_000_200.png,K-001027,정상알약,검은색 배경,앞면,전구색,60,0,200,198300329,16.5,8.86,7.4,1,1026,K-001027,리팜핀정 600mg,Rifampin Tab. 600mg,http://connectdi.com/design/img/drug/147427381627200194.jpg,리팜피신,Rifabutin,"정제, 저작정",(주)유한양행,Yuhan,,,19831020,[06130]주로 항산성균에 작용하는 것,전문의약품,"642100410,A04503581",엷은 주홍색 장방형 제피정,타원형,YH,,주황,,,,20050927,필름코팅정,,,,,,,20191110
619,K-001029_0_0_0_0_60_000_200.png,976,1280,K-001029_0_0_0_0_60_000_200.png,K-001029,정상알약,검은색 배경,앞면,전구색,60,0,200,198300343,17.1,9.2,5,1,1028,K-001029,부루펜정 400mg,Brufen Tab. 400mg,http://connectdi.com/design/img/drug/1Mxwka5v465.jpg,이부프로펜,Ibuprofen,"정제, 저작정",삼일제약(주),Samil,,,19830201,[01140]해열.진통.소염제,일반의약품,"643900480,A05001311",흰색의 장방형 필름코팅정제,장방형,마크,BR4,하양,,,,20060613,필름코팅정,"siL,5iL",,http://connectdi.com/design/img/drug/147938644048800047.jpg,,,,20210329
780,K-001061_0_0_0_0_60_000_200.png,976,1280,K-001061_0_0_0_0_60_000_200.png,K-001061,정상알약,검은색 배경,앞면,전구색,60,0,200,198300605,16.1,9.1,6.2,1,1060,K-001061,파자임-95밀리그램이중정,Phazyme 95mg Tab.,http://connectdi.com/design/img/drug/1McVeGQyqQL.jpg,판크레아틴|시메티콘 산|시메티콘,Pancreatin| Simethicone,"정제, 저작정",부광약품(주),Bukwang Pharm,,,19831012,[02330]건위소화제,일반의약품,642202290,적갈색의 타원형 필름코팅정,타원형,PΛ,,갈색,,,,20180628,필름코팅정,,,,,,,20180627
704,K-001150_0_0_0_0_60_000_200.png,976,1280,K-001150_0_0_0_0_60_000_200.png,K-001150,정상알약,검은색 배경,앞면,전구색,60,0,200,198400131,14.23,8.17,5.88,1,1149,K-001150,스코펜정400mg/PTP,Scopen Tab. 400mg,http://connectdi.com/design/img/drug/147427336539800031.jpg,이부프로펜,Ibuprofen,"정제, 저작정",에이프로젠제약(주),Aprogen Pharmaceuticals,,,19840223,[01140]해열.진통.소염제,일반의약품,645204170,주황색의 장방형 필름코팅정,장방형,KS S,,분홍,,,,20160615,필름코팅정,,,,,,,20190522
